crash_record_id,crash_yearmonth,content
d3c723f453b3319348065ff841f12ce994b136b1e8bcbeef2a4b9657e7e1adb28e4f4015c9efe8970adefa494a84b168e5c4469ac2ae47b48a2b1946d786a082,2022-02,"Police records still list the victim as suffering an ""incapacitating injury"" but news stories report that he died.
"
a3acf9c83361b3b687a0c48af8084e52f2aa02048d790504cfccba7b6273e615ee795302f5179d75aefb829216bce7bc71f209e5aa5a6ab09955c7d09e6e0fe0,2025-05,"Streetsblog says the police report describes the driver as ""DISTRACTED"", but this is not currently in the data, suggesting that the data has since been revised.
"
4a2e9b6741877e95522f2c05dac37aaea7dcac46a5fd5286d1f036b5ae79f20ccc5f259a1292316ea701519373c0bcc5e74e6d5f6d3de46c34497a6fd13e47d3,2025-07,"City records still list the 83-year-old victim as suffering non-incapacitating injuries, but news reports say he died of his injuries.
"
71ea43187ed3b1874615bee70e49be58799be043dbed15afff77afee5f45358b14e3b04c4ecbae16e30f402e55cecf7fc568aa8908a82d1d09f2eba85dab7cd4,2026-05,City data still lists victim as severly injured but news reports say she died 2 weeks after her injuries.
